DEBUG 2020-02-17 20:50:33,699 utils 18624 11220 (0.001) SELECT COUNT(*) AS `__count` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jxtj'); args=(11, True, 'jxtj')
DEBUG 2020-02-17 20:50:33,729 utils 18624 11220 (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' AND `django_session`.`expire_date` > '2020-02-17 12:50:33.728427'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', '2020-02-17 12:50:33.728427')
DEBUG 2020-02-17 20:50:33,732 utils 18624 11220 (0.002) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jxtj') ORDER BY `mall_product`.`reorder` DESC LIMIT 2; args=(11, True, 'jxtj')
DEBUG 2020-02-17 20:50:57,024 utils 18624 15488 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:50:57,025 utils 18624 15488 (0.000) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:50:57,041 utils 18624 15488 (0.013) SELECT COUNT(*) AS `__count` FROM `mall_product` INNER JOIN `mall_product_classes` ON (`mall_product`.`id` = `mall_product_classes`.`product_id`) INNER JOIN `mall_classify` ON (`mall_product_classes`.`classify_id` = `mall_classify`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_classify`.`code` = 'jszc'); args=(11, True, 'jszc')
DEBUG 2020-02-17 20:50:57,044 utils 18624 15488 (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' AND `django_session`.`expire_date` > '2020-02-17 12:50:57.043112'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', '2020-02-17 12:50:57.043112')
DEBUG 2020-02-17 20:50:57,116 utils 18624 11132 (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:50:57,117 utils 18624 11132 (0.001) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:50:57,120 utils 18624 11132 (0.000) SELECT COUNT(*) AS `__count` FROM `mall_product` INNER JOIN `mall_product_classes` ON (`mall_product`.`id` = `mall_product_classes`.`product_id`) INNER JOIN `mall_classify` ON (`mall_product_classes`.`classify_id` = `mall_classify`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_classify`.`code` = 'jszc'); args=(11, True, 'jszc')
